App name,App status,Graph API access,Permission type,Consent type,Publisher,Last modified,Added on,Permission usage,Data usage,Privilege level
DigitalIdf - Bites - NonProd,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T15:43:18.000Z,2021-04-12T14:21:41.000Z,N/A,0,Low
DigitalIDF - Call System (GoIdf API) - Dev,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T15:43:34.000Z,2021-11-22T09:28:38.000Z,N/A,0,Low
DigitalIDF - CallSystem Backoffice - DEV,Enabled,Yes,Delegated,Admin,N/A,2023-04-02T15:43:47.000Z,2020-06-21T05:27:54.000Z,N/A,0,Low
DigitalIDF - Campus (Moodle) - Prod,Enabled,Yes,Delegated,Admin,N/A,2023-04-02T15:43:53.000Z,2022-01-04T06:16:44.000Z,N/A,0,Low
DigitalIDF - Clearance - NonProd,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T15:45:05.000Z,2020-10-28T09:17:48.000Z,N/A,0,Low
DigitalIDF - Clearance - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T15:45:11.000Z,2021-08-03T14:39:52.000Z,N/A,0,Low
DigitalIDF - ClickUserManagement - Integration,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T15:45:15.000Z,2022-05-08T11:23:29.000Z,N/A,0,Low
DigitalIDF - Client - Simulator,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T15:45:32.000Z,2021-12-29T11:22:17.000Z,N/A,0,Low
DigitalIDF - Codeserver - Prod,Enabled,Yes,Delegated,Admin,N/A,2023-04-02T15:45:38.000Z,2022-02-16T20:16:04.000Z,N/A,0,Low
DigitalIDF - Convention - Prod,Enabled,Yes,Delegated,Admin,N/A,2023-04-02T15:45:53.000Z,2021-02-08T13:47:36.000Z,N/A,0,Low
DigitalIDF - CoronaGo - Dev,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T15:47:44.000Z,2020-12-23T13:38:03.000Z,N/A,0,Low
DigitalIDF - CPRGO - Test,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T15:48:40.000Z,2020-03-19T18:07:12.000Z,N/A,0,Low
DigitalIDF - CRM (Matrix) - DEV,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T15:48:44.000Z,2022-11-22T10:08:59.000Z,N/A,0,Low
DigitalIDF - CRM (Matrix) - Preprod,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T15:48:57.000Z,2022-11-22T10:11:06.000Z,N/A,0,Low
DigitalIDF - Doch1 - Dev,Enabled,Yes,Delegated,Admin,N/A,2023-04-02T15:49:32.000Z,2022-03-30T00:10:05.000Z,N/A,0,Low
DigitalIDF - DOZ - Stage,Enabled,Yes,Delegated,Admin,N/A,2023-04-02T15:49:49.000Z,2022-02-17T16:15:29.000Z,N/A,0,Low
DigitalIDF - DOZ (Backoffice) - Prod,Enabled,Yes,Delegated,Admin,N/A,2023-04-02T15:49:54.000Z,2022-02-14T16:07:44.000Z,N/A,0,Low
DigitalIDF - Drishop - Prod,Enabled,Yes,Delegated,Admin,N/A,2023-04-02T15:50:11.000Z,2020-03-16T09:39:36.000Z,N/A,0,Low
DigitalIDF - EKS dashboard - Production,Enabled,Yes,Delegated,Admin,N/A,2023-04-02T15:50:26.000Z,2022-11-19T18:04:26.000Z,N/A,0,Low
DigitalIDF - HMH-BO - Dev,Enabled,Yes,Delegated,User (5),N/A,2023-04-02T15:56:13.000Z,2022-08-11T07:57:53.000Z,N/A,0,Low
DigitalIDF - HMH-BO - Prod,Enabled,Yes,Delegated,User (3),N/A,2023-04-02T15:56:15.000Z,2022-08-17T12:33:25.000Z,N/A,0,Low
DigitalIDF - HMH - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T15:56:29.000Z,2022-07-21T14:31:56.000Z,N/A,0,Low
DigitalIDF - IDFInformers - DEV,Enabled,Yes,Delegated,Admin,N/A,2023-04-02T15:57:14.000Z,2021-07-19T06:58:43.000Z,N/A,0,Low
DigitalIDF - IDFInformers - PROD,Enabled,Yes,Delegated,Admin,N/A,2023-04-02T15:57:23.000Z,2021-10-17T07:08:09.000Z,N/A,0,Low
DigitalIDF - Kitbag- PreProd,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T15:57:39.000Z,2022-11-27T09:10:48.000Z,N/A,0,Low
DigitalIDF - Kitbag - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T15:57:47.000Z,2019-12-12T14:08:25.000Z,N/A,0,Low
DigitalIDF - MedicineCheck - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:00:00.000Z,2022-05-03T13:58:02.000Z,N/A,0,Low
DigitalIDF - MessagesHub - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:01:07.000Z,2022-03-01T14:49:10.000Z,N/A,0,Low
DigitalIDF - Miluim Backoffice - Prod,Enabled,Yes,Delegated,Admin,N/A,2023-04-02T16:02:01.000Z,2021-01-12T10:02:31.000Z,N/A,0,Low
DigitalIDF - Nahsal - NonProd,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:03:01.000Z,2021-05-20T07:45:45.000Z,N/A,0,Low
DigitalIDF - NextHR - PROD,Enabled,Yes,Delegated,Admin,N/A,2023-04-02T16:03:22.000Z,2020-10-21T10:46:14.000Z,N/A,0,Low
DigitalIDF - NextPRAT - PreProd,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:03:25.000Z,2022-02-28T14:49:26.000Z,N/A,0,Low
DigitalIDF - NextPRAT - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:03:34.000Z,2022-03-09T14:30:39.000Z,N/A,0,Low
DigitalIDF - NextPRAT (Notifications) - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:03:44.000Z,2022-03-10T13:27:49.000Z,N/A,0,Low
DigitalIDF - NifgaimBikurim - Dev,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:04:07.000Z,2022-03-16T09:01:50.000Z,N/A,0,Low
DigitalIDF - NifgaimBikurim - Pre - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:04:18.000Z,2022-06-26T12:38:13.000Z,N/A,0,Low
DigitalIDF - NifgaimBikurim - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:04:21.000Z,2022-07-03T13:36:05.000Z,N/A,0,Low
DigitalIDF - NifgaimProcedure - Dev,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:04:44.000Z,2022-01-16T12:36:41.000Z,N/A,0,Low
DigitalIDF - NifgaimProcedure - Pre - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:04:49.000Z,2022-07-03T11:49:31.000Z,N/A,0,Low
DigitalIDF - NifgaimProcedure - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:04:59.000Z,2022-07-03T14:13:20.000Z,N/A,0,Low
DigitalIDF - NifgaimServer - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:05:01.000Z,2022-05-08T13:04:29.000Z,N/A,0,Low
DigitalIDF - Prat - Dev,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:05:49.000Z,2022-02-15T09:45:45.000Z,N/A,0,Low
DigitalIDF - Prat - PreProd,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:05:57.000Z,2022-03-28T12:48:39.000Z,N/A,0,Low
DigitalIDF - Prat - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:06:09.000Z,2022-03-29T00:06:08.000Z,N/A,0,Low
DigitalIDF - QX - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:06:27.000Z,2022-01-26T09:24:08.000Z,N/A,0,Low
DigitalIDF - QX - Test,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:06:38.000Z,2021-11-16T13:03:35.000Z,N/A,0,Low
DigitalIDF - ReservesConnection - Dev,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:06:39.000Z,2022-07-10T08:11:50.000Z,N/A,0,Low
DigitalIDF - ReservesConnection - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:06:46.000Z,2022-08-10T11:00:12.000Z,N/A,0,Low
DigitalIDF - Seker - PreProd,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:07:11.000Z,2022-01-10T14:56:41.000Z,N/A,0,Low
DigitalIDF - Seker - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:07:17.000Z,2022-01-21T11:38:53.000Z,N/A,0,Low
DigitalIDF - Shekel - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:07:25.000Z,2020-03-26T12:04:42.000Z,N/A,0,Low
DigitalIDF - SMS Services API - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:08:23.000Z,2022-03-28T11:30:21.000Z,N/A,0,Low
DigitalIDF - SMSServices Dev Sms Server - DEV,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:08:28.000Z,2023-02-05T10:29:05.000Z,N/A,0,Low
DigitalIDF - Swagger - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:09:47.000Z,2021-10-14T10:56:11.000Z,N/A,0,Low
DigitalIDF - Swagger - TEST,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:09:58.000Z,2021-10-11T10:37:49.000Z,N/A,0,Low
DigitalIDF - Tash (BO) - NonProd,Enabled,Yes,Mixed,Admin,N/A,2023-04-02T16:10:21.000Z,2022-11-30T08:16:52.000Z,N/A,0,Low
Meister,Enabled,Yes,Delegated,User (17),MeisterLabs GmbH,2023-04-06T10:06:48.000Z,2019-11-07T19:26:42.000Z,N/A,0,Low
StudentAmbassadors-API,Enabled,Yes,Delegated,User (5),N/A,2023-04-13T10:59:26.000Z,2022-06-12T09:00:08.000Z,N/A,0,Low
MS User Research,Enabled,Yes,Delegated,User (1),N/A,2023-04-13T13:24:47.000Z,2023-04-13T13:24:47.000Z,N/A,0,Low
DigitalIDF - Cubical - Prod,Enabled,Yes,Mixed,Admin,N/A,2023-04-13T14:18:50.000Z,2021-04-08T13:25:50.000Z,N/A,0,Low
DigitalIDF - HMH - Dev,Enabled,Yes,Mixed,Admin,N/A,2023-04-16T07:22:58.000Z,2022-06-27T08:31:46.000Z,N/A,0,Low
dast-demo,Enabled,Yes,Delegated,User (3),N/A,2023-04-17T08:00:06.000Z,2023-03-09T13:57:14.000Z,N/A,0,Low
To-do Checklist for Team,Enabled,Yes,Delegated,User (3),HEROCODERS SP Z O O,2023-04-17T18:31:18.000Z,2023-03-09T13:55:50.000Z,N/A,0,Low
DigitalIDF - ZimunTorimBot - Test,Enabled,Yes,Mixed,Admin,N/A,2023-04-18T09:30:11.000Z,2023-03-28T07:58:29.000Z,N/A,0,Low
